"annee","jours_glissants","code_station","VCNx_annuel_spe"
"2020",10,"E237110501",6.54470989761092
"2021",10,"E237110501",3.23549488054608
"2022",10,"E237110501",0.915813424345847
"2023",10,"E237110501",0.203071672354949
"2024",10,"E237110501",2.31968145620023
"2004",10,"E240041101",2.83039765796536
"2005",10,"E240041101",4.02537204196145
"2008",10,"E240041101",4.24781654061966
"2009",10,"E240041101",4.25190813090301
"2010",10,"E240041101",4.90363503293486
"2011",10,"E240041101",0.859687031680201
"2012",10,"E240041101",5.09897535984386
"2013",10,"E240041101",6.06245425713589
"2014",10,"E240041101",2.9461088070261
"2015",10,"E240041101",3.58780190290315
"2016",10,"E240041101",2.93093437423762
"2017",10,"E240041101",1.6561844352281
"2018",10,"E240041101",2.16247865333008
"2019",10,"E240041101",1.63291046596731
"2020",10,"E240041101",2.54471822395706
"2021",10,"E240041101",3.66833373993657
"2022",10,"E240041101",1.34928031227129
"2023",10,"E240041101",1.57328616735789
"2024",10,"E240041101",4.34296169797512
"2005",10,"D019223001",1.49076923076923
"2006",10,"D019223001",1.92521367521368
"2007",10,"D019223001",2.31555555555556
"2008",10,"D019223001",2.50299145299145
"2009",10,"D019223001",1.79418803418803
"2010",10,"D019223001",2.02282051282051
"2011",10,"D019223001",1.82769230769231
"2012",10,"D019223001",2.78846153846154
"2013",10,"D019223001",3.12982905982906
"2014",10,"D019223001",3.4017094017094
"2015",10,"D019223001",4.02763532763533
"2016",10,"D019223001",2.64521367521367
"2017",10,"D019223001",0.834401709401709
"2018",10,"D019223001",0.504178537511871
"2019",10,"D019223001",0.838717948717949
"2020",10,"D019223001",0.826410256410256
"2021",10,"D019223001",1.80104463437797
"2022",10,"D019223001",0.501282051282051
"2023",10,"D019223001",0.683333333333333
"2024",10,"D019223001",1.43390313390313
"2005",10,"E381126501",2.13669243511872
"2006",10,"E381126501",2.32070679182772
"2010",10,"E381126501",6.90226394257316
"2011",10,"E381126501",0.04527885146328
"2012",10,"E381126501",4.38216454997239
"2014",10,"E381126501",3.85085588072888
"2015",10,"E381126501",2.67796797349531
"2016",10,"E381126501",3.28036996134732
"2017",10,"E381126501",1.5662617338487
"2018",10,"E381126501",1.96018774157924
